sector,sexo,horas_semana,ingreso_mensual,ingreso_por_hora
Informal,Hombre,54,7740,33.33
Formal,Hombre,48,21500,104.17
Informal,Mujer,48,5160,25.0
Informal,Hombre,42,3870,21.43
Formal,Hombre,48,8600,41.67
Informal,Mujer,14,2580,42.86
Formal,Hombre,36,40000,258.4
Formal,Hombre,40,50000,290.7
Informal,Mujer,10,4300,100.0
Informal,Hombre,45,7740,40.0
Formal,Mujer,60,9000,34.88
Informal,Mujer,9,1290,33.33
Formal,Hombre,48,8960,43.41
Formal,Hombre,28,16000,132.89
Informal,Mujer,45,6450,33.33
Informal,Hombre,54,30100,129.63
Informal,Mujer,20,4300,50.0
Formal,Hombre,50,9460,44.0
Informal,Hombre,60,17200,66.67
Formal,Mujer,54,15000,64.6
Formal,Hombre,51,8000,36.48
Formal,Hombre,60,12040,46.67
Informal,Hombre,28,6880,57.14
Informal,Mujer,25,4300,40.0
Informal,Mujer,25,4300,40.0
Informal,Mujer,10,8600,200.0
Informal,Mujer,24,6450,62.5
Informal,Mujer,32,3440,25.0
Formal,Hombre,60,13000,50.39
Formal,Hombre,40,20000,116.28
Informal,Hombre,48,15480,75.0
Informal,Mujer,3,860,66.67
Informal,Mujer,24,5590,54.17
Formal,Mujer,35,12000,79.73
Informal,Hombre,12,9460,183.33
Formal,Mujer,35,10750,71.43
Formal,Mujer,42,16000,88.59
Informal,Mujer,4,1500,87.21
Formal,Mujer,54,15000,64.6
Informal,Hombre,54,12900,55.56
Formal,Mujer,40,60000,348.84
Formal,Mujer,32,9400,68.31
Formal,Hombre,48,50000,242.25
Informal,Mujer,30,7740,60.0
Informal,Hombre,48,17200,83.33
Informal,Hombre,50,12900,60.0
Formal,Mujer,48,8600,41.67
Formal,Hombre,40,32000,186.05
Informal,Hombre,48,17200,83.33
Informal,Mujer,48,4300,20.83
Informal,Mujer,54,12900,55.56
Informal,Mujer,72,12900,41.67
Informal,Mujer,25,8600,80.0
Formal,Hombre,40,10000,58.14
Informal,Hombre,16,4500,65.41
Informal,Mujer,62,70000,262.57
Informal,Hombre,5,860,40.0
Informal,Hombre,45,10750,55.56
Informal,Hombre,48,9460,45.83
Informal,Mujer,20,12900,150.0
Informal,Hombre,40,12000,69.77
Formal,Hombre,45,40000,206.72
Formal,Hombre,40,12000,69.77
Informal,Hombre,56,25800,107.14
Formal,Hombre,60,19350,75.0
Formal,Mujer,40,40000,232.56
Informal,Hombre,70,12040,40.0
Formal,Mujer,55,22000,93.02
Formal,Hombre,90,6800,17.57
Informal,Hombre,54,4300,18.52
Formal,Mujer,32,24000,174.42
Formal,Hombre,40,12000,69.77
Formal,Hombre,48,4000,19.38
Formal,Mujer,40,17000,98.84
Informal,Hombre,70,6020,20.0
Formal,Hombre,42,24000,132.89
Informal,Hombre,48,12900,62.5
Formal,Hombre,35,13000,86.38
Formal,Mujer,40,40000,232.56
Informal,Hombre,80,12900,37.5
Informal,Hombre,40,8600,50.0
Informal,Mujer,39,8600,51.28
Informal,Mujer,16,3010,43.75
Informal,Mujer,45,40000,206.72
Formal,Mujer,45,46000,237.73
Informal,Mujer,70,15050,50.0
Formal,Mujer,40,7000,40.7
Formal,Mujer,54,11000,47.37
Informal,Mujer,28,8600,71.43
Informal,Hombre,30,6000,46.51
Formal,Hombre,76,10750,32.89
Formal,Hombre,50,30000,139.53
Informal,Mujer,40,9890,57.5
Formal,Mujer,48,6000,29.07
Formal,Hombre,45,30000,155.04
Informal,Mujer,14,2580,42.86
Formal,Hombre,40,30000,174.42
Formal,Hombre,78,16000,47.7
Informal,Mujer,48,25800,125.0
Formal,Hombre,24,7000,67.83
Informal,Mujer,35,6020,40.0
Formal,Hombre,40,20000,116.28
Informal,Mujer,40,30000,174.42
Informal,Mujer,9,3000,77.52
Informal,Mujer,24,4515,43.75
Informal,Hombre,35,10750,71.43
Informal,Mujer,18,6000,77.52
Formal,Mujer,48,8170,39.58
Informal,Mujer,12,2580,50.0
Informal,Mujer,40,8600,50.0
Formal,Mujer,66,9030,31.82
Informal,Hombre,70,10750,35.71
Informal,Mujer,56,6450,26.79
Formal,Hombre,98,8000,18.98
Formal,Hombre,40,40000,232.56
Informal,Mujer,15,4300,66.67
Informal,Hombre,12,2150,41.67
Formal,Hombre,35,14000,93.02
Formal,Hombre,48,12900,62.5
Formal,Mujer,48,12900,62.5
Informal,Mujer,30,21000,162.79
Informal,Hombre,25,5000,46.51
Informal,Hombre,49,9030,42.86
Informal,Hombre,21,5160,57.14
Formal,Hombre,40,40000,232.56
Informal,Mujer,5,2150,100.0
Formal,Mujer,40,30000,174.42
Informal,Mujer,5,1290,60.0
Formal,Mujer,48,9460,45.83
Formal,Hombre,49,14000,66.45
Formal,Mujer,56,8000,33.22
Informal,Hombre,24,30000,290.7
Informal,Mujer,10,12000,279.07
Informal,Hombre,70,13545,45.0
Formal,Mujer,40,12000,69.77
Formal,Mujer,4,14236,827.67
Formal,Hombre,48,10000,48.45
Informal,Hombre,25,3010,28.0
Formal,Hombre,40,32000,186.05
